# header	class	node	paramCount	labelsCSV
PedalCircuits.h	BigMuffToneStage	PtpBigMuffToneStage	1	Tone
PedalCircuits.h	BossDS1OpAmpGainStage	PtpBossDS1OpAmpGainStage	1	Distortion
PedalCircuits.h	BossDS1ToneStage	PtpBossDS1ToneStage	2	Tone,Volume
PedalCircuits.h	DOD_FX70C_ToneStage	PtpDODFX70CToneStage	3	Bottom,Top,Dissolve
PedalCircuits.h	JHSMorningGloryInputStage	PtpJHSMorningGloryInputStage	1	Gain
PedalCircuits.h	JHSMorningGloryToneStage	PtpJHSMorningGloryToneStage	1	Tone
PedalCircuits.h	KlonCentaurToneControl	PtpKlonCentaurToneControl	1	Treble
PedalCircuits.h	MarshallGuvnorInputStage	PtpMarshallGuvnorInputStage	1	Gain
PedalCircuits.h	MarshallGuvnorOutputStage	PtpMarshallGuvnorOutputStage	1	Volume
PedalCircuits.h	MarshallGuvnorToneControl	PtpMarshallGuvnorToneControl	3	Bass,Mid,Treble
PedalCircuits.h	MatchlessHotboxToneControl	PtpMatchlessHotboxToneControl	3	Bass,Treble,Output
PedalCircuits.h	MXRDistortionPlus	PtpMXRDistortionPlus	1	Distortion
PedalCircuits.h	ProCoRat	PtpProCoRat	2	Distortion,Tone
PedalCircuits.h	TubeScreamerToneStage	PtpTubeScreamerToneStage	1	Tone
PedalCircuits.h	Vox1901	PtpVox1901	2	Distortion,Output
ClippingCircuits.h	BiasDiodeGE_A	PtpBiasDiodeGEA	1	Bias
ClippingCircuits.h	BiasDiodeGE_B	PtpBiasDiodeGEB	1	Bias
ClippingCircuits.h	BiasDiodeSI_A	PtpBiasDiodeSIA	1	Bias
ClippingCircuits.h	BiasDiodeSI_B	PtpBiasDiodeSIB	1	Bias
ClippingCircuits.h	BJT_NPN_GE	PtpBJTNPNGE	1	Bias
ClippingCircuits.h	BJT_NPN_SI	PtpBJTNPNSI	1	Bias
ClippingCircuits.h	DiodeHardGE	PtpDiodeHardGE	1	Distortion
ClippingCircuits.h	DiodeHardSI	PtpDiodeHardSI	1	Distortion
ClippingCircuits.h	DiodeHPF_GE	PtpDiodeHPFGE	1	Distortion
ClippingCircuits.h	DiodeHPF_SI	PtpDiodeHPFSI	1	Distortion
ClippingCircuits.h	DiodeLPF_GE	PtpDiodeLPFGE	1	Distortion
ClippingCircuits.h	DiodeLPF_SI	PtpDiodeLPFSI	1	Distortion
ClippingCircuits.h	TubeCleanBiasA	PtpTubeCleanBiasA	1	Bias
ClippingCircuits.h	TubeCleanBiasB	PtpTubeCleanBiasB	1	Bias
ClippingCircuits.h	TubeDirtyBiasA	PtpTubeDirtyBiasA	1	Bias
ClippingCircuits.h	TubeDirtyBiasB	PtpTubeDirtyBiasB	1	Bias
FilterCircuits.h	AllPassFilter	PtpAllPassFilter	1	Phase
FilterCircuits.h	AmblerTiltEQ	PtpAmblerTiltEQ	1	Tilt
FilterCircuits.h	BiquadBPF	PtpBiquadBPF	1	Frequency Q
FilterCircuits.h	BiquadLPF	PtpBiquadLPF	1	Q Increases Alongside Frequency In A Biquad
FilterCircuits.h	BridgedTNotchFilter	PtpBridgedTNotchFilter	1	Frequency
FilterCircuits.h	ButterworthSallenKeyHPF	PtpButterworthSallenKeyHPF	1	Cutoff
FilterCircuits.h	ButterworthSallenKeyLPF	PtpButterworthSallenKeyLPF	1	Cutoff
FilterCircuits.h	FirstOrderStateVariableHPF	PtpFirstOrderStateVariableHPF	1	Cutoff
FilterCircuits.h	FirstOrderStateVariableLPF	PtpFirstOrderStateVariableLPF	1	Cutoff
FilterCircuits.h	FliegeLPF	PtpFliegeLPF	2	Cutoff,Q
FilterCircuits.h	FourOpAmpStateVariableBPF	PtpFourOpAmpStateVariableBPF	2	Cutoff,Q
FilterCircuits.h	FourOpAmpStateVariableHPF	PtpFourOpAmpStateVariableHPF	2	Cutoff,Q
FilterCircuits.h	FourOpAmpStateVariableLPF	PtpFourOpAmpStateVariableLPF	2	Cutoff,Q
FilterCircuits.h	FourOpAmpStateVariableNotch	PtpFourOpAmpStateVariableNotch	2	Cutoff,Q
FilterCircuits.h	MFBBandpass	PtpMFBBandpass	1	Cutoff
FilterCircuits.h	SallenKeyFeedbackHPF	PtpSallenKeyFeedbackHPF	2	Cutoff,Q
FilterCircuits.h	SallenKeyFeedbackLPF	PtpSallenKeyFeedbackLPF	2	Cutoff,Q
FilterCircuits.h	SubBesselSallenKeyHPF	PtpSubBesselSallenKeyHPF	1	Cutoff
FilterCircuits.h	SubBesselSallenKeyLPF	PtpSubBesselSallenKeyLPF	1	Cutoff
FilterCircuits.h	ThreeBandBaxandallEQ	PtpThreeBandBaxandallEQ	3	Bass,Mid,Treble
FilterCircuits.h	TwoLFBaxandallToneControl	PtpTwoLFBaxandallToneControl	2	Bass,Treble
FilterCircuits.h	VariableFrequencyHFEQ	PtpVariableFrequencyHFEQ	2	Gain,Frequency
FilterCircuits.h	VariableFrequencyLFEQ	PtpVariableFrequencyLFEQ	2	Gain,Frequency
FilterCircuits.h	VariableFrequencyVariableQMidEQ	PtpVariableFrequencyVariableQMidEQ	3	Frequency,Gain,Q
FilterCircuits.h	WienVariableFrequencyMidEQ	PtpWienVariableFrequencyMidEQ	2	Mid,Frequency
EQCircuits.h	Baxandall1	PtpBaxandall1	2	Bass,Treble
EQCircuits.h	Baxandall2	PtpBaxandall2	2	Bass,Treble
EQCircuits.h	Baxandall3	PtpBaxandall3	2	Bass,Treble
EQCircuits.h	Baxandall5	PtpBaxandall5	3	Bass,Treble,Balance
EQCircuits.h	Baxandall63Band	PtpBaxandall63Band	3	Bass,Treble,Balance
EQCircuits.h	Baxandall74Band	PtpBaxandall74Band	4	Low,Low Mid,High Mid,High
EQCircuits.h	FourBandEQ	PtpFourBandEQ	7	Bass Frequency,Bass Gain,Low Mid Frequency,Low Mid Gain,High Mid Frequency,High Mid Gain,Treble Gain
EQCircuits.h	HPFLPFCombo	PtpHPFLPFCombo	2	HPF Cutoff,LPF Cutoff
EQCircuits.h	LowPlusHighPeaking	PtpLowPlusHighPeaking	4	Bass Frequency,Bass Gain,Treble Frequency,Treble Gain
EQCircuits.h	LowPlusHighShelves	PtpLowPlusHighShelves	4	Bass Frequency,Bass Gain,Treble Frequency,Treble Gain
EQCircuits.h	SevenBandGraphicEQ	PtpSevenBandGraphicEQ	7	63 Hz,160 Hz,410 Hz,1 Khz,2 5 Khz,7 7 Khz,16 Khz
AmpTonestacks.h	Acoustic117ToneStack	PtpAcoustic117ToneStack	3	Bass,Mid,Treble
AmpTonestacks.h	Acoustic118ToneStack	PtpAcoustic118ToneStack	3	Bass,Mid,Treble
AmpTonestacks.h	Acoustic165ToneStack	PtpAcoustic165ToneStack	4	Bass,Mid,Treble,Volume
AmpTonestacks.h	AmpegB15PortaflexToneStack	PtpAmpegB15PortaflexToneStack	2	Bass,Treble
AmpTonestacks.h	AmpegBA115AToneStack	PtpAmpegBA115AToneStack	1	Volume
AmpTonestacks.h	AmpegBA115BToneStack	PtpAmpegBA115BToneStack	1	Volume
AmpTonestacks.h	AmpegBA115CToneStack	PtpAmpegBA115CToneStack	1	Volume
AmpTonestacks.h	AmpegBA115DToneStack	PtpAmpegBA115DToneStack	1	Volume
AmpTonestacks.h	AmpegBA115EToneStack	PtpAmpegBA115EToneStack	1	Volume
AmpTonestacks.h	AriaToneStack	PtpAriaToneStack	3	Bass,Mid,Treble
AmpTonestacks.h	BadCatHotcat30ToneStack	PtpBadCatHotcat30ToneStack	3	Bass,Treble,Volume
AmpTonestacks.h	BlackstarHT5ToneStack	PtpBlackstarHT5ToneStack	4	Bass,Mid,Treble,Isf
AmpTonestacks.h	BognerEcstasyToneStack	PtpBognerEcstasyToneStack	3	Bass,Mid,Treble
AmpTonestacks.h	BoneRayToneStack	PtpBoneRayToneStack	2	Mid,Tilt
AmpTonestacks.h	CrateToneStack	PtpCrateToneStack	3	Bass,Mid,Treble
AmpTonestacks.h	DrZToneStack	PtpDrZToneStack	1	Tone
AmpTonestacks.h	DumbleJazzToneStack	PtpDumbleJazzToneStack	4	Bass,Mid,Treble,Volume
AmpTonestacks.h	DumbleRockToneStack	PtpDumbleRockToneStack	4	Bass,Mid,Treble,Volume
AmpTonestacks.h	EpiphoneEA32RVTToneStack	PtpEpiphoneEA32RVTToneStack	3	Bass,Treble,Volume
AmpTonestacks.h	FenderBassmanToneStack	PtpFenderBassmanToneStack	3	Bass,Mid,Treble
AmpTonestacks.h	FenderBlondeTwinToneStack	PtpFenderBlondeTwinToneStack	2	Bass,Treble
AmpTonestacks.h	FenderBrownFaceToneStack	PtpFenderBrownFaceToneStack	2	Bass,Treble
AmpTonestacks.h	FenderESeriesToneStack	PtpFenderESeriesToneStack	2	Bass,Treble
AmpTonestacks.h	FenderPrinceton5E2ToneStack	PtpFenderPrinceton5E2ToneStack	2	Tone,Volume
AmpTonestacks.h	FenderPrinceton5F2AToneStack	PtpFenderPrinceton5F2AToneStack	2	Tone,Volume
AmpTonestacks.h	FenderTMBToneStack	PtpFenderTMBToneStack	3	Bass,Mid,Treble
AmpTonestacks.h	FramusToneStack	PtpFramusToneStack	1	Mid
AmpTonestacks.h	GibsonGA5TToneStack	PtpGibsonGA5TToneStack	2	Tone,Volume
AmpTonestacks.h	GibsonGA16TToneStack	PtpGibsonGA16TToneStack	2	Tone,Volume
AmpTonestacks.h	GibsonGA20RVTToneStack	PtpGibsonGA20RVTToneStack	3	Bass,Treble,Volume
AmpTonestacks.h	GibsonGA45RVTToneStack	PtpGibsonGA45RVTToneStack	3	Bass,Treble,Volume
AmpTonestacks.h	GibsonGA75ToneStack	PtpGibsonGA75ToneStack	3	Bass,Treble,Volume
AmpTonestacks.h	HiWattCP103ToneStack	PtpHiWattCP103ToneStack	2	Bass,Treble
AmpTonestacks.h	HiWattToneStack	PtpHiWattToneStack	3	Bass,Mid,Treble
AmpTonestacks.h	LaneyLC15ToneStack	PtpLaneyLC15ToneStack	4	Bass,Mid,Treble,Volume
AmpTonestacks.h	MarshallBluesbreakerToneStack	PtpMarshallBluesbreakerToneStack	3	Bass,Mid,Treble
AmpTonestacks.h	MarshallJCM800_2203ToneStack	PtpMarshallJCM8002203ToneStack	3	Bass,Mid,Treble
AmpTonestacks.h	MarshallJCM800_2210BoostToneStack	PtpMarshallJCM8002210BoostToneStack	3	Bass,Mid,Treble
AmpTonestacks.h	MarshallJCM900_2210SLXToneStack	PtpMarshallJCM9002210SLXToneStack	3	Bass,Mid,Treble
AmpTonestacks.h	MarshallJCM900_4100ToneStack	PtpMarshallJCM9004100ToneStack	3	Bass,Mid,Treble
AmpTonestacks.h	MarshallPlexiToneStack	PtpMarshallPlexiToneStack	3	Bass,Mid,Treble
AmpTonestacks.h	MarshallToneStack	PtpMarshallToneStack	3	Bass,Mid,Treble
AmpTonestacks.h	MoonlightToneStack	PtpMoonlightToneStack	2	Tone,Volume
AmpTonestacks.h	OrangeAD15ToneStack	PtpOrangeAD15ToneStack	3	Bass,Mid,Treble
AmpTonestacks.h	RolandCube60BrightToneStack	PtpRolandCube60BrightToneStack	4	Bass,Mid,Treble,Volume
AmpTonestacks.h	RolandCube60NormalToneStack	PtpRolandCube60NormalToneStack	4	Bass,Mid,Treble,Volume
AmpTonestacks.h	RolandJazzChorusToneStack	PtpRolandJazzChorusToneStack	5	Bass,Mid,Treble,High,Volume
AmpTonestacks.h	SoldanoSuperLead60ToneStack	PtpSoldanoSuperLead60ToneStack	4	Bass,Mid,Treble,Volume
AmpTonestacks.h	SoldanoSuperLead100ToneStack	PtpSoldanoSuperLead100ToneStack	4	Bass,Mid,Treble,Volume
AmpTonestacks.h	VoxACToneStack	PtpVoxACToneStack	2	Bass,Treble
AmpTonestacks.h	WardsAirlineGDR_8502AToneStack	PtpWardsAirlineGDR8502AToneStack	2	Tone,Volume
AmpTonestacks.h	WardsAirlineGDR_8516AToneStack	PtpWardsAirlineGDR8516AToneStack	3	Bass,Treble,Volume
AmpTonestacks.h	WardsAirlineGIM_9151AToneStack	PtpWardsAirlineGIM9151AToneStack	3	Bass,Treble,Volume
AmpTonestacks.h	WardsAirlineGVC_9002AToneStack	PtpWardsAirlineGVC9002AToneStack	2	Tone,Volume
AmpTonestacks.h	WardsAirlineGVC_9056AToneStack	PtpWardsAirlineGVC9056AToneStack	3	Bass,Treble,Volume
AmpTonestacks.h	WardsAirlineGVC_9062AToneStack	PtpWardsAirlineGVC9062AToneStack	3	Bass,Treble,Volume
AmpClippers.h	AmpegB15Portaflex2A	PtpAmpegB15Portaflex2A	1	Volume
AmpClippers.h	AmpegB15Portaflex2B	PtpAmpegB15Portaflex2B	1	Volume
AmpClippers.h	AmpegB15Portaflex2C	PtpAmpegB15Portaflex2C	1	Volume
AmpClippers.h	AmpegB15Portaflex2D	PtpAmpegB15Portaflex2D	1	Volume
AmpClippers.h	FenderBassman100_2A	PtpFenderBassman1002A	1	Gain
AmpClippers.h	FenderBassman100_2B	PtpFenderBassman1002B	1	Gain
AmpClippers.h	MarshallJCM800_2203_1A	PtpMarshallJCM80022031A	1	P1
AmpClippers.h	RolandJazzChorus2B	PtpRolandJazzChorus2B	1	Distortion
AmpClippers.h	SoldanoSuperLead100_2A	PtpSoldanoSuperLead1002A	1	P1
AmpClippers.h	SoldanoSuperLead100_2B	PtpSoldanoSuperLead1002B	1	Gain
